time,value
2025-06-05T06:49:30.002532905Z,372
2025-06-05T06:50:14.650657898Z,374
2025-06-05T06:50:59.316462196Z,372
2025-06-05T06:51:43.97241615Z,371
2025-06-05T06:52:28.6332166Z,373
2025-06-05T06:53:13.292315297Z,375
2025-06-05T06:53:57.938905652Z,381
2025-06-05T06:54:42.612496713Z,373
2025-06-05T06:56:11.902761957Z,380
2025-06-05T06:56:56.565471146Z,372
2025-06-05T06:57:41.234282122Z,374
2025-06-05T06:58:25.898215722Z,373
2025-06-05T06:59:10.55180485Z,374
2025-06-05T06:59:55.239203799Z,379
2025-06-05T07:00:39.886724586Z,372
2025-06-05T07:01:24.530943004Z,374
2025-06-05T07:02:09.180808492Z,373
2025-06-05T07:03:38.449898685Z,371
2025-06-05T07:04:23.083284769Z,372
2025-06-05T07:05:07.731679557Z,373
2025-06-05T07:07:21.682828048Z,380
2025-06-05T07:08:06.346303976Z,372
2025-06-05T07:08:51.028189408Z,371
2025-06-05T07:09:35.686045271Z,374
2025-06-05T07:10:20.343688498Z,373
2025-06-05T07:11:05.00254723Z,372
2025-06-05T07:12:34.313264118Z,373
2025-06-05T07:13:18.944299268Z,371
2025-06-05T07:14:48.253369907Z,373
2025-06-05T07:15:32.912310803Z,378
2025-06-05T07:16:17.571472777Z,374
2025-06-05T07:17:02.228942635Z,373
2025-06-05T07:19:16.181675483Z,377
2025-06-05T07:20:00.849227293Z,371
2025-06-05T07:20:45.504785174Z,373
2025-06-05T07:21:30.17089682Z,372
2025-06-05T07:22:14.819111203Z,371
2025-06-05T07:22:59.482819091Z,375
2025-06-05T07:23:44.146762293Z,372
2025-06-05T07:25:13.439082525Z,373
2025-06-05T07:25:58.099580898Z,371
2025-06-05T07:26:42.772153249Z,372
2025-06-05T07:28:12.077099442Z,374
2025-06-05T07:29:41.398740451Z,373
2025-06-05T07:30:26.054078883Z,380
2025-06-05T07:31:10.712421483Z,373
2025-06-05T07:32:40.023579989Z,372
2025-06-05T07:33:24.684154334Z,371
2025-06-05T07:34:09.330250396Z,375
2025-06-05T07:34:53.992580538Z,371
2025-06-05T07:35:38.645668636Z,373
2025-06-05T07:36:23.302697287Z,370
2025-06-05T07:37:07.960618898Z,373
2025-06-05T07:37:52.605790637Z,372
2025-06-05T07:38:37.277437165Z,370
2025-06-05T07:39:21.943663915Z,374
2025-06-05T07:40:51.257700035Z,373
2025-06-05T07:41:35.916260431Z,375
2025-06-05T07:42:20.588585249Z,373
2025-06-05T07:43:49.886048461Z,372
2025-06-05T07:44:34.55450586Z,371
2025-06-05T07:45:19.225608715Z,376
2025-06-05T07:46:03.872939991Z,374
